split	prompt
calib	a cat sitting on a bench in a sunlit park
calib	a red vintage car parked outside a diner at dusk
calib	an astronaut riding a horse across a desert plain
calib	a bowl of ramen with steam rising, studio lighting
calib	a lighthouse on a cliff during a thunderstorm
calib	a robot barista pouring latte art in a cozy cafe
calib	a snow-covered temple garden with stone lanterns
calib	a macro photo of a dragonfly on a dewy leaf
holdout	a small red sailboat on a calm blue lake
holdout	a neon-lit alley in the rain, cinematic
holdout	a stack of old books beside a candle on a wooden desk
holdout	a golden retriever puppy chasing autumn leaves
holdout	a hot air balloon over terraced rice fields at sunrise
holdout	an antique pocket watch on a velvet cloth
holdout	a fox standing in a misty birch forest
holdout	a chef flambeing a dish in a dark kitchen
